text,drug1,drug2,ddi,ddi_type
in a study of 11 hiv-infected patients receiving drug1-maintenance therapy ( 40 mg and 90 mg daily ) with 600 mg of drug2 twice daily ( twice the currently recommended dose )  oral drug0 clearance increased 22 % ( 90 % ci 6 % to 42 % ) .,methadone,ziagen,TRUE,mechanism
in a study of 11 hiv-infected patients receiving drug2-maintenance therapy ( 40 mg and 90 mg daily ) with 600 mg of drug1 twice daily ( twice the currently recommended dose )  oral drug0 clearance increased 22 % ( 90 % ci 6 % to 42 % ) .,ziagen,methadone,FALSE,none
drug1 : concomitant drug0 administration decreased the mean auc of total drug2 approximately 55 % .,cholestyramine,ezetimibe,FALSE,none
drug1 : concomitant drug0 administration decreased the mean auc of total drug2 approximately 55 % .,cholestyramine,ezetimibe,TRUE,mechanism
the incremental ldl-c reduction due to adding drug1 to drug2 may be reduced by this interaction .,ezetimibe,cholestyramine,TRUE,effect
co-administration of drug1 with drug2 is not recommended until use in patients is studied .,zetia,fibrates,TRUE,advise
drug1 : in a pharmacokinetic study  concomitant drug0 administration increased total drug2 concentrations approximately 1.5-fold .,fenofibrate,ezetimibe,FALSE,none
drug1 : in a pharmacokinetic study  concomitant drug0 administration increased total drug2 concentrations approximately 1.5-fold .,fenofibrate,ezetimibe,TRUE,mechanism
drug1 : in a pharmacokinetic study  concomitant drug0 administration increased total drug2 concentrations approximately 1.7-fold .,gemfibrozil,ezetimibe,FALSE,none
drug1 : in a pharmacokinetic study  concomitant drug0 administration increased total drug2 concentrations approximately 1.7-fold .,gemfibrozil,ezetimibe,FALSE,none
drug1 : the total drug2 level increased 12-fold in one renal transplant patient receiving multiple medications  including drug0 .,cyclosporine,ezetimibe,FALSE,none
drug2 : the total drug1 level increased 12-fold in one renal transplant patient receiving multiple medications  including drug0 .,ezetimibe,cyclosporine,TRUE,mechanism
patients who take both drug1 and drug2 should be carefully monitored .,ezetimibe,cyclosporine,TRUE,advise
multiple dose studies of drug1 given in combination with drug2 ( drug0 ) in rats and rabbits during organogenesis result in higher drug0 and statin exposures .,ezetimibe,hmg-coa reductase inhibitors,FALSE,none
multiple dose studies of drug1 given in combination with drug0 ( drug2 ) in rats and rabbits during organogenesis result in higher drug0 and statin exposures .,ezetimibe,statins,FALSE,none
multiple dose studies of drug2 given in combination with drug1 ( drug0 ) in rats and rabbits during organogenesis result in higher drug0 and statin exposures .,hmg-coa reductase inhibitors,ezetimibe,FALSE,none
multiple dose studies of drug2 given in combination with drug0 ( drug1 ) in rats and rabbits during organogenesis result in higher drug0 and statin exposures .,statins,ezetimibe,FALSE,none
when drug1 is administered with an drug2 in a woman of childbearing potential  refer to the pregnancy category and package labeling for the drug0 .,zetia,hmg-coa reductase inhibitor,FALSE,none
when drug1 is administered with an drug2 in a woman of childbearing potential  refer to the pregnancy category and package labeling for the drug0 .,zetia,hmg-coa reductase inhibitor,FALSE,none
these are described in greater detail below : oral drug1  drug0-type drug0  drug2  drug0  drug0  drug0  drug0  drug0  drug0  drug0  drug0  short-acting drug0  oral drug0 : clinically significant hypoglycemia may be precipitated by the use of drug0 with oral drug0 agents ;,hypoglycemics,phenytoin,FALSE,none
these are described in greater detail below : oral drug1  drug0-type drug0  drug0  drug2  drug0  drug0  drug0  drug0  drug0  drug0  drug0  short-acting drug0  oral drug0 : clinically significant hypoglycemia may be precipitated by the use of drug0 with oral drug0 agents ;,hypoglycemics,cyclosporine,FALSE,none
these are described in greater detail below : oral drug1  drug0-type drug0  drug0  drug0  drug2  drug0  drug0  drug0  drug0  drug0  drug0  short-acting drug0  oral drug0 : clinically significant hypoglycemia may be precipitated by the use of drug0 with oral drug0 agents ;,hypoglycemics,rifampin,FALSE,none
these are described in greater detail below : oral drug1  drug0-type drug0  drug0  drug0  drug0  drug2  drug0  drug0  drug0  drug0  drug0  short-acting drug0  oral drug0 : clinically significant hypoglycemia may be precipitated by the use of drug0 with oral drug0 agents ;,hypoglycemics,theophylline,FALSE,none
these are described in greater detail below : oral drug1  drug0-type drug0  drug0  drug0  drug0  drug0  drug2  drug0  drug0  drug0  drug0  short-acting drug0  oral drug0 : clinically significant hypoglycemia may be precipitated by the use of drug0 with oral drug0 agents ;,hypoglycemics,terfenadine,FALSE,none
these are described in greater detail below : oral drug1  drug0-type drug0  drug0  drug0  drug0  drug0  drug0  drug2  drug0  drug0  drug0  short-acting drug0  oral drug0 : clinically significant hypoglycemia may be precipitated by the use of drug0 with oral drug0 agents ;,hypoglycemics,cisapride,FALSE,none
these are described in greater detail below : oral drug1  drug0-type drug0  drug0  drug0  drug0  drug0  drug0  drug0  drug2  drug0  drug0  short-acting drug0  oral drug0 : clinically significant hypoglycemia may be precipitated by the use of drug0 with oral drug0 agents ;,hypoglycemics,astemizole,FALSE,none
these are described in greater detail below : oral drug1  drug0-type drug0  drug0  drug0  drug0  drug0  drug0  drug0  drug0  drug2  drug0  short-acting drug0  oral drug0 : clinically significant hypoglycemia may be precipitated by the use of drug0 with oral drug0 agents ;,hypoglycemics,rifabutin,FALSE,none
these are described in greater detail below : oral drug1  drug0-type drug0  drug0  drug0  drug0  drug0  drug0  drug0  drug0  drug0  drug2  short-acting drug0  oral drug0 : clinically significant hypoglycemia may be precipitated by the use of drug0 with oral drug0 agents ;,hypoglycemics,tacrolimus,FALSE,none
these are described in greater detail below : oral drug1  drug0-type drug0  drug0  drug0  drug0  drug0  drug0  drug0  drug0  drug0  drug0  drug2  oral drug0 : clinically significant hypoglycemia may be precipitated by the use of drug0 with oral drug0 agents ;,hypoglycemics,short-acting benzodiazepines,FALSE,none
these are described in greater detail below : oral drug1  drug0-type drug0  drug0  drug0  drug0  drug0  drug0  drug0  drug0  drug0  drug0  short-acting drug0  oral drug0 : clinically significant hypoglycemia may be precipitated by the use of drug2 with oral drug0 agents ;,hypoglycemics,diflucan,FALSE,none
these are described in greater detail below : oral drug1  drug0-type drug0  drug0  drug0  drug0  drug0  drug0  drug0  drug0  drug0  drug0  short-acting drug0  oral drug0 : clinically significant hypoglycemia may be precipitated by the use of drug0 with oral drug2 ;,hypoglycemics,hypoglycemic agents,FALSE,none
these are described in greater detail below : oral drug0  drug1  drug0  drug0  drug0  drug0  drug0  drug0  drug0  drug0  drug0  short-acting drug0  oral drug0 : clinically significant hypoglycemia may be precipitated by the use of drug2 with oral drug0 agents ;,coumarin-type anticoagulants,diflucan,FALSE,none
these are described in greater detail below : oral drug0  drug1  drug0  drug0  drug0  drug0  drug0  drug0  drug0  drug0  drug0  short-acting drug0  oral drug0 : clinically significant hypoglycemia may be precipitated by the use of drug0 with oral drug2 ;,coumarin-type anticoagulants,hypoglycemic agents,FALSE,none
these are described in greater detail below : oral drug2  drug0-type drug0  drug1  drug0  drug0  drug0  drug0  drug0  drug0  drug0  drug0  short-acting drug0  oral drug0 : clinically significant hypoglycemia may be precipitated by the use of drug0 with oral drug0 agents ;,phenytoin,hypoglycemics,FALSE,none
these are described in greater detail below : oral drug0  drug0-type drug0  drug1  drug0  drug0  drug0  drug0  drug0  drug0  drug0  drug0  short-acting drug0  oral drug0 : clinically significant hypoglycemia may be precipitated by the use of drug2 with oral drug0 agents ;,phenytoin,diflucan,FALSE,none
these are described in greater detail below : oral drug0  drug0-type drug0  drug1  drug0  drug0  drug0  drug0  drug0  drug0  drug0  drug0  short-acting drug0  oral drug0 : clinically significant hypoglycemia may be precipitated by the use of drug0 with oral drug2 ;,phenytoin,hypoglycemic agents,FALSE,none
